LGA,Year,Income
CORRIGIN,2014,54204
COTTESLOE,2014,74887
CRANBROOK,2014,37470
CUBALLING,2014,51727
CUE,2014,33262
CUNDERDIN,2014,53510
DALWALLINU,2014,48989
DANDARAGAN,2014,43545
DARDANUP,2014,51547
DENMARK,2014,33988
DERBY-WEST KIMBERLEY,2014,47037
DONNYBROOK-BALINGUP,2014,39171
DOWERIN,2014,48707
DUMBLEYUNG,2014,59094
DUNDAS,2014,43612
EAST FREMANTLE,2014,62515
EAST PILBARA,2014,79169
ESPERANCE,2014,45597
EXMOUTH,2014,50090
FREMANTLE,2014,54513
GINGIN,2014,38490
GNOWANGERUP,2014,52925
GOOMALLING,2014,49246
GOSNELLS,2014,49940
GREATER GERALDTON,2014,50974
HALLS CREEK,2014,42448
HARVEY,2014,51596
IRWIN,2014,46785
JERRAMUNGUP,2014,49488
JOONDALUP,2014,54565
KALAMUNDA,2014,54124
KALGOORLIE/BOULDER,2014,66098
KARRATHA,2014,84467
KATANNING,2014,43521
KELLERBERRIN,2014,44728
KENT,2014,71892
KOJONUP,2014,42407
KONDININ,2014,59982
KOORDA,2014,53088
KULIN,2014,59068
KWINANA,2014,53945
LAKE GRACE,2014,63835
LAVERTON,2014,44031
LEONORA,2014,61958
MANDURAH,2014,48163
MANJIMUP,2014,39424
MEEKATHARRA,2014,48450
MELVILLE,2014,54236
MENZIES,2014,38020
MERREDIN,2014,51266
MINGENEW,2014,48610
MOORA,2014,51519
MORAWA,2014,51243
MOSMAN PARK,2014,61907
MOUNT MAGNET,2014,39360
MOUNT MARSHALL,2014,51526
MUKINBUDIN,2014,43952
MUNDARING,2014,52380
MURCHISON,2014,75448
MURRAY,2014,47903
NANNUP,2014,34000
NAREMBEEN,2014,52376
NARROGIN,2014,48717
NEDLANDS,2014,69166
NGAANYATJARRAKU,2014,20466
NORTHAM,2014,49707
NORTHAMPTON,2014,36488
NUNGARIN,2014,47286
PEPPERMINT GROVE,2014,88452
PERENJORI,2014,36022
PERTH,2014,54010
PINGELLY,2014,50727
PLANTAGENET,2014,37759
PORT HEDLAND,2014,85272
QUAIRADING,2014,60438
RAVENSTHORPE,2014,55847
ROCKINGHAM,2014,55602
SANDSTONE,2014,43509
SERPENTINE-JARRAHDALE,2014,55768
SHARK BAY,2014,45018
SOUTH PERTH,2014,58605
STIRLING,2014,54290
SUBIACO,2014,66884
SWAN,2014,52977
TAMMIN,2014,55067
THREE SPRINGS,2014,40292
TOODYAY,2014,45326
TRAYNING,2014,44450
UPPER GASCOYNE,2014,47998
VICTORIA PARK,2014,53586
VICTORIA PLAINS,2014,48774
VINCENT,2014,59163
WAGIN,2014,45395
WANDERING,2014,71146
WANNEROO,2014,51904
WAROONA,2014,51260
WEST ARTHUR,2014,44692
WESTONIA,2014,51401
WICKEPIN,2014,51476
WILLIAMS,2014,54135
WILUNA,2014,33537
WONGAN-BALLIDU,2014,49603
WOODANILLING,2014,53016
WYALKATCHEM,2014,52838
WYNDHAM-EAST KIMBERLEY,2014,54348
YALGOO,2014,40787
YILGARN,2014,59662
YORK,2014,40982
ALBANY,2015,43350
ARMADALE,2015,52567
ASHBURTON,2015,100665
AUGUSTA-MARGARET RIVER,2015,38719
BASSENDEAN,2015,54718
BAYSWATER,2015,51926
BELMONT,2015,51466
BEVERLEY,2015,39895
BODDINGTON,2015,65042
BOYUP BROOK,2015,41153
BRIDGETOWN-GREENBUSHES,2015,39080
BROOKTON,2015,44087
BROOME,2015,56276
BROOMEHILL-TAMBELLUP,2015,45023
BRUCE ROCK,2015,53118
BUNBURY,2015,47926
BUSSELTON,2015,42695
CAMBRIDGE,2015,68275
CANNING,2015,46688
CAPEL,2015,53528
CARNAMAH,2015,42898
CARNARVON,2015,44761
CHAPMAN VALLEY,2015,54744
CHITTERING,2015,48207
CLAREMONT,2015,62159
COCKBURN,2015,55417
COLLIE,2015,50358
COOLGARDIE,2015,64132
COOROW,2015,41731
CORRIGIN,2015,49887
COTTESLOE,2015,73724
CRANBROOK,2015,36876
CUBALLING,2015,47486
CUE,2015,29130
CUNDERDIN,2015,51236
DALWALLINU,2015,53409
DANDARAGAN,2015,41500
DARDANUP,2015,51653
DENMARK,2015,34144
DERBY-WEST KIMBERLEY,2015,47286
DONNYBROOK-BALINGUP,2015,39025
DOWERIN,2015,40697
DUMBLEYUNG,2015,47702
DUNDAS,2015,47780
EAST FREMANTLE,2015,62205
EAST PILBARA,2015,76575
ESPERANCE,2015,46546
EXMOUTH,2015,50600
FREMANTLE,2015,54876
GINGIN,2015,38359
GNOWANGERUP,2015,50934
GOOMALLING,2015,42167
GOSNELLS,2015,49299
GREATER GERALDTON,2015,51081
HALLS CREEK,2015,41091
HARVEY,2015,50995
IRWIN,2015,45686
JERRAMUNGUP,2015,44324
JOONDALUP,2015,54080
KALAMUNDA,2015,54026
KALGOORLIE/BOULDER,2015,66773
KARRATHA,2015,81933
KATANNING,2015,43458
KELLERBERRIN,2015,42670
KENT,2015,53757
KOJONUP,2015,41299
KONDININ,2015,48332
KOORDA,2015,50991
KULIN,2015,50600
KWINANA,2015,54093
LAKE GRACE,2015,52305
LAVERTON,2015,49514
LEONORA,2015,65914
MANDURAH,2015,47417
MANJIMUP,2015,40315
MEEKATHARRA,2015,47165
MELVILLE,2015,53719
MENZIES,2015,34786
MERREDIN,2015,50848
MINGENEW,2015,39689
