LGA,Year,Income
COTTESLOE,2013-14,70049
CRANBROOK,2013-14,35802
CUBALLING,2013-14,43285
CUE,2013-14,29291
CUNDERDIN,2013-14,51989
DALWALLINU,2013-14,49667
DANDARAGAN,2013-14,42821
DARDANUP,2013-14,50608
DENMARK,2013-14,32673
DERBY-WEST KIMBERLEY,2013-14,48605
DONNYBROOK-BALINGUP,2013-14,38613
DOWERIN,2013-14,45118
DUMBLEYUNG,2013-14,58734
DUNDAS,2013-14,45814
EAST FREMANTLE,2013-14,63644
EAST PILBARA,2013-14,81783
ESPERANCE,2013-14,45524
EXMOUTH,2013-14,51900
FREMANTLE,2013-14,54877
GINGIN,2013-14,37787
GNOWANGERUP,2013-14,52466
GOOMALLING,2013-14,43681
GOSNELLS,2013-14,49531
GREATER GERALDTON,2013-14,50512
HALLS CREEK,2013-14,42633
HARVEY,2013-14,50724
IRWIN,2013-14,47987
JERRAMUNGUP,2013-14,46033
JOONDALUP,2013-14,53800
KALAMUNDA,2013-14,53556
KALGOORLIE/BOULDER,2013-14,64719
KARRATHA,2013-14,83412
KATANNING,2013-14,43286
KELLERBERRIN,2013-14,46771
KENT,2013-14,59338
KOJONUP,2013-14,37782
KONDININ,2013-14,52236
KOORDA,2013-14,44443
KULIN,2013-14,54546
KWINANA,2013-14,53147
LAKE GRACE,2013-14,54102
LAVERTON,2013-14,47912
LEONORA,2013-14,59097
MANDURAH,2013-14,47923
MANJIMUP,2013-14,37640
MEEKATHARRA,2013-14,40315
MELVILLE,2013-14,53503
MENZIES,2013-14,34463
MERREDIN,2013-14,50395
MINGENEW,2013-14,52984
MOORA,2013-14,49250
MORAWA,2013-14,48674
MOSMAN PARK,2013-14,60400
MOUNT MAGNET,2013-14,45966
MOUNT MARSHALL,2013-14,47612
MUKINBUDIN,2013-14,38838
MUNDARING,2013-14,51945
MURCHISON,2013-14,75190
MURRAY,2013-14,47858
NANNUP,2013-14,30745
NAREMBEEN,2013-14,50017
NARROGIN,2013-14,46274
NEDLANDS,2013-14,67678
